successful,drag,num[i],x1,y1,z1,totaltime,offset
1,drag3,2,263.63385,440.65573,0.19999999,797.796154,69.66786685016565
1,drag3,3,429.40363,627.50977,0.19999999,604.376231,43.2532436758398
1,drag3,4,454.36893,441.65497,0.19999999,596.4961539999999,55.891461631693446
1,drag3,5,234.67407,644.49646,0.19999999,880.742231,41.126256543516426
1,drag3,9,250.65187,547.5722,0.19999999,778.556846,43.06547128683187
1,drag3,17,432.39944,718.4387,0.19999999,858.339077,38.15421813711893
1,drag3,16,265.63107,712.4434,0.19999999,584.9945389999999,48.24161796361047
1,drag3,7,431.40085,516.59644,0.19999999,578.083846,80.15961104372528
1,drag3,4,432.39944,466.63544,0.19999999,385.220462,36.41504827295336
1,drag3,10,269.62552,286.77597,0.19999999,637.875461,22.81385294851269
1,drag3,2,248.65465,461.63934,0.19999999,439.660692,18.137291885298925
1,drag3,11,439.38974,239.81265,0.19999999,917.442923,44.367107136891725
1,drag3,4,471.34537,426.66666,0.19999999,472.468692,49.33914363457572
1,drag3,18,276.6158,786.3856,0.19999999,1252.4609229999999,58.252077808558454
1,drag3,2,237.6699,478.62607,0.19999999,790.375462,47.94586495544778
1,drag3,19,448.37726,794.3794,0.19999999,1026.212616,48.46400737878614
1,drag3,13,428.405,179.85948,0.19999999,990.667154,44.61666008534783
1,drag3,6,253.64772,333.73926,0.19999999,751.212539,53.816878492281624
1,drag3,12,249.65326,174.86339,0.19999999,639.122308,59.806413045637875
1,drag3,8,433.39807,325.7455,0.19999999,928.137385,45.20495651222166
1,drag3,19,438.39114,782.38873,0.19999999,1012.098846,64.44539359903736
1,drag3,22,253.64772,1013.20844,0.19999999,860.003462,55.119269140990724
1,drag3,18,239.66713,825.35516,0.19999999,500.986924,48.82680228244448
1,drag3,23,412.4272,1016.2061,0.19999999,706.8689999999999,38.70787591404302
1,drag3,14,264.63245,47.96253,0.19999999,1640.553308,39.318047774764324
1,drag3,11,422.41333,206.83841,0.19999999,1358.896769,64.13085777805658
