index,MT,d
2--3,52,6.663426933
3--4,310,232.6338984
4--5,723,247.5354296
5--9,295,189.9928531
9--17,244,132.8975489
17--16,270,176.0456149
16--7,258,202.0333876
7--4,307,220.4215335
4--10,289,135.0755909
10--2,505,221.1368298
2--11,153,49.97094676
11--4,534,303.0204573
4--18,269,113.0706665
18--2,512,404.3683822
2--19,567,330.7430847
19--13,333,280.2744097
13--6,668,613.950464
6--12,393,244.9531974
12--8,344,163.8750061
8--19,213,188.6060894
19--22,361,323.8446999
22--18,289,171.680867
18--23,258,157.2825532
23--14,259,193.5811179
14--11,738,958.3576309
11--10,270,217.9163572
10--15,456,194.7589462
15--17,335,273.022963
17--20,551,606.5393372
20--21,398,290.5104975
21--16,217,184.1856289
16--9,384,227.441636
9--8,333,209.799269
8--6,449,280.975758
6--7,353,184.2765566
7--24,189,174.8697527
24--26,686,554.6761474
26--27,278,257.9721818
27--25,394,227.7188712
25--66,278,271.9033696
66--41,559,800.8071361
41--42,485,320.292317
42--65,290,172.7266052
65--36,241,327.9436296
36--38,525,431.4804234
38--39,225,181.9681514
39--37,417,201.0219383
37--16,334,321.5216548
16--56,225,158.0113195
56--20,377,267.6386947
20--53,198,165.9786332
53--59,594,248.6653738
59--30,460,759.3874888
30--29,243,221.1788073
29--60,344,231.0667482
60--33,251,205.2406359
33--62,253,278.4522781
62--61,172,163.4819323
61--34,250,204.3196321
34--6,279,192.5525286
6--48,551,314.7933914
48--12,462,201.1312112
12--49,432,236.8896831
49--51,515,273.3493864
51--2,329,178.6103866
2--5,494,328.3501514
5--50,206,156.264803
50--37,505,219.8581743
37--64,326,313.1021711
64--38,287,270.8742255
38--63,404,176.8884057
63--29,435,276.166651
29--31,668,395.4542795
31--28,556,313.2154448
28--30,424,193.5990501
30--42,333,259.4369545
42--40,613,540.6456735
40--41,605,234.4538755
41--43,315,204.2321556
43--45,398,252.8746552
45--82,214,146.6289126
82--80,199,167.0721461
80--44,305,117.6721971
44--57,342,332.4228314
57--26,576,860.6260629
26--58,234,199.4989927
58--25,235,131.8207121
25--64,514,258.1237365
64--44,398,561.903371
44--38,290,226.9606426
38--67,271,255.1314619
67--9,225,227.1585927
9--53,651,455.0163745
53--16,378,246.7680198
16--52,278,154.138777
52--74,586,243.8659918
74--17,785,566.2700481
17--75,515,224.8573059
75--7,357,228.5591335
7--38,508,267.7035498
38--45,223,180.2684786
45--44,333,248.7762375
44--39,352,234.5689106
39--14,514,247.2580482
14--47,675,653.2144685
47--46,243,207.308081
46--10,332,180.7089261
10--22,210,197.0698193
22--86,676,680.8948977
86--55,539,235.3246481
55--88,646,237.5738721
88--70,46,7.065554356
70--8,215,221.4031393
8--13,214,197.3600048
13--71,325,182.8450147
71--78,314,202.1968853
78--83,514,355.7346915
83--21,342,163.9231823
21--85,333,219.492274
85--19,233,196.9697186
19--77,491,312.0879571
77--76,200,137.9655259
76--23,341,167.1525659
23--15,359,167.428483
15--69,785,897.3929167
69--11,316,186.5629091
11--68,514,141.4023591
68--21,657,318.5678557
21--75,806,793.1254036
75--17,377,277.3306098
17--78,359,143.9703033
78--54,198,128.6407954
54--22,338,159.7949251
22--18,331,243.088088
18--55,282,231.4498636
55--4,404,209.1565634
4--73,858,699.1356888
73--72,237,201.752303
72--3,411,215.5261164
3--90,307,241.3672278
90--77,1048,442.9423834
77--23,657,301.9139846
23--92,324,153.9940244
92--67,145,90.03638576
67--82,435,237.6100727
82--84,33,0
84--44,308,188.7908013
44--38,415,229.9607196
38--45,532,191.1186027
45--44,360,199.2847569
44--39,200,124.4445194
39--42,533,210.5492321
42--87,315,279.9968204
87--89,342,158.2795715
89--43,434,212.0759551
43--42,596,237.1713041
42--91,396,232.6789951
91--89,215,158.5229577
89--66,333,152.8763946
66--56,48,0
56--81,856,436.9838135
81--20,307,115.4868109
20--79,476,171.8686849
79--33,423,216.5304956
33--35,793,651.3171588
35--34,524,239.563764
34--32,286,201.1299298
